Amount Received,Amount Paid,Payment Format,Year,Month
442.32,291.76,Bank Transfer,2022,3
104.69,321.59,Debit Card,2021,4
243.99,167.18,Cash,2021,4
392.0,167.57,Bank Transfer,2021,5
168.65,266.18,Bank Transfer,2023,1
308.41,342.49,Cash,2023,3
121.74,221.12,Cash,2021,2
180.0,299.01,Bank Transfer,2022,1
107.41,494.7,Debit Card,2023,4
417.48,112.17,Cash,2022,12
189.57,286.35,Credit Card,2022,12
238.14,289.56,Bank Transfer,2022,5
471.23,376.72,Bank Transfer,2022,7
381.77,206.56,Cash,2021,12
112.74,419.97,Debit Card,2022,2
165.88,260.4,Bank Transfer,2023,12
348.59,138.06,Bank Transfer,2021,9
330.89,352.02,Cash,2021,6
195.16,110.56,Debit Card,2021,6
473.69,386.72,Cash,2021,12
345.59,104.86,Debit Card,2022,11
314.25,338.67,Debit Card,2022,4
335.96,448.36,Debit Card,2021,6
392.05,379.36,Cash,2022,3
224.78,349.74,Credit Card,2021,8
259.29,272.72,Credit Card,2021,7
183.94,234.48,Bank Transfer,2022,3
174.48,248.12,Credit Card,2023,5
477.75,250.01,Cash,2023,10
395.82,311.95,Debit Card,2022,2
296.18,157.33,Bank Transfer,2023,10
190.97,452.75,Cash,2023,5
201.74,350.35,Cash,2021,9
123.21,249.77,Debit Card,2022,4
273.77,492.88,Cash,2021,5
224.72,449.01,Debit Card,2023,7
378.54,342.73,Credit Card,2023,10
251.1,248.7,Cash,2021,11
171.84,247.64,Cash,2023,3
109.87,126.68,Bank Transfer,2022,4
126.9,237.01,Bank Transfer,2022,3
371.76,198.27,Credit Card,2022,10
281.48,343.42,Debit Card,2023,11
314.63,388.07,Cash,2021,6
458.67,216.97,Bank Transfer,2022,2
496.14,318.46,Credit Card,2022,8
186.76,414.83,Bank Transfer,2021,1
365.23,356.76,Cash,2022,12
205.33,397.46,Credit Card,2023,3
108.26,187.23,Credit Card,2022,7
403.35,354.02,Credit Card,2022,3
228.01,209.51,Credit Card,2022,3
253.39,192.3,Debit Card,2022,7
335.33,208.37,Bank Transfer,2021,12
432.42,246.61,Credit Card,2023,8
351.59,288.38,Bank Transfer,2023,10
449.06,191.7,Credit Card,2023,10
209.42,239.99,Cash,2021,5
419.22,458.6,Bank Transfer,2021,2
174.25,153.85,Debit Card,2023,8
481.12,186.29,Cash,2023,6
375.0,124.28,Bank Transfer,2021,3
186.2,383.55,Bank Transfer,2022,2
478.95,311.76,Debit Card,2023,8
392.34,289.73,Bank Transfer,2021,7
201.58,113.77,Cash,2022,5
185.32,484.54,Cash,2022,8
307.28,437.63,Bank Transfer,2022,2
110.27,428.15,Credit Card,2022,10
182.99,450.09,Cash,2022,2
269.87,410.81,Credit Card,2023,6
249.67,155.78,Cash,2021,12
285.43,488.6,Debit Card,2021,3
211.05,473.49,Bank Transfer,2021,7
334.71,378.43,Bank Transfer,2022,6
445.54,216.8,Bank Transfer,2021,3
147.01,100.44,Debit Card,2022,12
306.95,294.34,Credit Card,2021,4
152.83,337.92,Credit Card,2022,9
386.74,497.59,Credit Card,2021,8
258.42,153.17,Debit Card,2023,3
326.17,135.53,Bank Transfer,2022,11
173.31,270.53,Cash,2023,3
157.94,400.38,Cash,2022,8
295.22,236.03,Debit Card,2023,3
242.25,364.94,Bank Transfer,2021,8
476.17,455.78,Cash,2021,5
406.13,417.26,Bank Transfer,2023,1
399.47,140.64,Bank Transfer,2021,10
461.49,278.43,Cash,2023,5
133.37,115.2,Bank Transfer,2021,7
320.88,167.46,Credit Card,2021,1
333.79,408.28,Bank Transfer,2023,11
484.77,169.64,Debit Card,2021,10
216.86,323.53,Bank Transfer,2022,12
196.33,345.99,Credit Card,2022,2
140.12,162.65,Cash,2022,8
106.57,465.93,Credit Card,2021,7
471.81,123.4,Debit Card,2022,5
367.97,467.69,Bank Transfer,2022,5
414.06,145.52,Cash,2022,8
212.69,460.35,Debit Card,2021,3
334.56,247.16,Debit Card,2022,7
125.58,415.94,Credit Card,2022,4
294.25,257.7,Credit Card,2022,12
491.0,393.26,Debit Card,2022,5
450.6,440.96,Cash,2022,9
235.26,310.18,Cash,2023,2
484.63,260.86,Cash,2021,1
192.68,257.85,Cash,2023,5
479.73,122.64,Bank Transfer,2023,12
476.55,105.93,Debit Card,2023,9
419.68,397.43,Credit Card,2022,11
352.18,266.16,Credit Card,2023,9
449.72,160.44,Bank Transfer,2023,3
217.21,448.61,Cash,2022,5
439.58,355.11,Credit Card,2022,6
347.15,289.8,Bank Transfer,2021,7
105.29,242.79,Debit Card,2022,3
238.89,237.9,Bank Transfer,2022,4
159.26,248.57,Cash,2022,12
492.73,454.62,Cash,2023,7
291.35,251.44,Debit Card,2023,8
298.96,107.73,Credit Card,2023,6
355.79,157.97,Bank Transfer,2022,12
247.43,238.48,Credit Card,2022,12
154.76,166.54,Bank Transfer,2022,3
428.85,429.19,Credit Card,2021,11
175.94,499.49,Debit Card,2023,11
304.53,233.67,Bank Transfer,2023,6
189.73,294.07,Credit Card,2021,11
139.14,119.05,Debit Card,2023,10
444.88,177.79,Debit Card,2023,8
489.17,191.62,Credit Card,2022,1
484.33,254.99,Debit Card,2022,12
462.62,430.57,Debit Card,2023,5
409.62,259.68,Bank Transfer,2021,1
233.26,396.57,Debit Card,2021,11
132.44,311.44,Credit Card,2021,2
262.9,365.46,Cash,2021,1
192.89,178.89,Cash,2022,5
153.0,115.52,Cash,2021,3
121.37,198.67,Cash,2023,12
390.24,140.49,Cash,2021,1
104.57,381.07,Cash,2021,11
408.23,327.69,Credit Card,2021,6
158.78,417.48,Debit Card,2021,12
131.81,261.04,Credit Card,2022,1
135.84,204.2,Cash,2022,1
368.82,444.42,Cash,2022,10
198.15,326.21,Bank Transfer,2022,9
268.22,289.16,Cash,2023,3
322.95,456.54,Debit Card,2023,9
444.22,239.13,Credit Card,2022,1
390.82,263.56,Credit Card,2022,9
208.13,202.98,Bank Transfer,2021,7
152.59,153.08,Credit Card,2021,11
122.15,328.36,Cash,2022,6
220.64,468.54,Debit Card,2022,5
204.85,359.52,Cash,2021,4
282.46,365.54,Credit Card,2023,3
373.31,443.37,Debit Card,2022,6
378.25,380.05,Bank Transfer,2023,1
213.41,250.38,Debit Card,2023,6
251.97,421.33,Debit Card,2021,10
172.46,149.6,Debit Card,2021,9
415.42,448.59,Bank Transfer,2022,6
122.74,303.66,Credit Card,2021,2
378.8,318.33,Bank Transfer,2023,7
411.48,469.07,Credit Card,2023,1
410.96,373.07,Bank Transfer,2022,12
203.77,131.27,Debit Card,2023,1
249.53,201.16,Credit Card,2021,10
335.04,384.31,Cash,2022,5
209.13,137.25,Credit Card,2021,7
248.34,204.52,Bank Transfer,2023,1
178.82,205.47,Bank Transfer,2021,1
283.94,383.08,Credit Card,2022,10
117.84,120.65,Credit Card,2021,8
419.92,237.99,Debit Card,2023,12
130.78,270.55,Credit Card,2022,11
307.53,129.32,Bank Transfer,2023,12
222.72,283.36,Debit Card,2021,5
331.02,312.56,Debit Card,2022,3
483.77,488.33,Debit Card,2022,9
358.23,449.41,Credit Card,2021,2
114.14,472.22,Bank Transfer,2021,8
272.16,208.29,Debit Card,2023,5
304.01,160.07,Bank Transfer,2023,7
314.47,355.4,Bank Transfer,2022,10
372.56,180.61,Bank Transfer,2022,2
211.04,334.59,Credit Card,2023,10
151.54,178.29,Credit Card,2021,5
257.07,126.06,Cash,2023,4
482.56,279.57,Debit Card,2023,3
174.85,354.58,Bank Transfer,2021,6
461.59,137.65,Debit Card,2023,6
317.52,319.89,Bank Transfer,2021,7
282.76,274.73,Bank Transfer,2022,4
452.82,202.1,Credit Card,2021,6
283.44,168.75,Credit Card,2023,6
389.67,193.73,Credit Card,2021,9
259.61,458.64,Credit Card,2022,5
461.62,112.75,Credit Card,2023,1
376.01,158.99,Cash,2023,2
379.85,307.27,Debit Card,2023,4
231.09,373.06,Cash,2023,4
402.71,264.13,Cash,2023,9
354.42,196.14,Cash,2021,10
196.01,209.74,Bank Transfer,2022,8
164.22,359.76,Bank Transfer,2021,4
418.56,385.16,Bank Transfer,2023,9
483.67,488.11,Debit Card,2021,7
283.26,381.4,Cash,2023,7
336.39,268.77,Bank Transfer,2022,7
443.09,198.22,Debit Card,2021,6
282.89,313.86,Debit Card,2022,4
480.75,390.63,Cash,2021,4
330.3,146.64,Bank Transfer,2023,9
428.31,123.92,Bank Transfer,2023,11
463.54,189.66,Debit Card,2021,8
426.21,267.7,Credit Card,2021,10
163.77,366.87,Cash,2022,12
351.56,103.66,Credit Card,2022,5
259.37,315.42,Cash,2023,12
125.09,216.35,Cash,2022,9
269.61,234.01,Debit Card,2022,3
203.47,273.29,Debit Card,2023,8
439.62,284.01,Credit Card,2023,7
113.32,260.71,Credit Card,2021,4
483.59,134.96,Cash,2022,1
242.15,163.66,Credit Card,2021,1
242.68,297.34,Cash,2022,10
106.53,254.62,Credit Card,2023,10
174.09,498.68,Debit Card,2023,8
260.5,407.85,Bank Transfer,2023,10
471.72,333.14,Cash,2022,12
139.85,319.13,Cash,2023,12
478.12,120.0,Credit Card,2023,3
447.8,370.69,Bank Transfer,2021,10
281.66,326.17,Cash,2021,4
230.68,306.36,Cash,2022,3
193.1,406.58,Bank Transfer,2023,12
345.79,413.2,Bank Transfer,2022,2
113.23,186.68,Credit Card,2022,6
106.24,173.86,Debit Card,2021,6
271.52,363.87,Credit Card,2021,4
127.23,232.32,Cash,2021,6
200.78,281.91,Credit Card,2022,11
188.46,117.75,Debit Card,2023,9
201.28,269.18,Debit Card,2021,1
152.42,476.74,Credit Card,2021,2
104.81,375.07,Bank Transfer,2021,7
146.19,427.76,Cash,2023,6
347.39,351.01,Debit Card,2022,2
489.7,334.04,Credit Card,2022,9
496.14,488.34,Cash,2023,3
263.62,295.89,Debit Card,2022,11
165.18,416.12,Bank Transfer,2023,3
355.5,192.56,Debit Card,2021,12
296.12,140.78,Debit Card,2023,8
495.76,172.53,Cash,2022,9
126.12,236.92,Credit Card,2021,10
413.29,284.27,Cash,2021,9
215.36,455.75,Credit Card,2021,3
196.57,337.05,Cash,2021,4
365.0,357.04,Bank Transfer,2023,5
198.43,253.98,Credit Card,2022,1
366.34,367.85,Debit Card,2022,9
306.92,261.65,Credit Card,2021,6
269.64,343.23,Debit Card,2023,6
321.88,314.32,Cash,2022,2
214.82,223.16,Credit Card,2023,9
382.63,133.44,Cash,2023,9
265.94,149.04,Credit Card,2023,11
244.22,329.96,Cash,2022,3
431.46,129.24,Credit Card,2023,9
469.99,281.22,Bank Transfer,2023,1
118.4,459.62,Cash,2022,7
193.05,333.06,Credit Card,2023,12
239.41,490.67,Bank Transfer,2023,8
425.99,215.15,Debit Card,2021,9
494.2,359.97,Cash,2021,7
487.59,473.9,Credit Card,2022,4
461.98,239.76,Cash,2023,1
218.62,313.43,Cash,2021,11
496.8,438.87,Credit Card,2023,12
199.77,232.53,Bank Transfer,2023,9
142.36,103.58,Credit Card,2023,8
480.38,496.09,Debit Card,2022,6
193.37,262.45,Debit Card,2021,1
375.91,143.79,Credit Card,2022,8
123.34,394.41,Cash,2021,3
392.28,230.02,Credit Card,2022,6
452.69,167.38,Cash,2022,2
208.97,147.4,Bank Transfer,2021,1
251.62,379.03,Debit Card,2023,9
249.72,497.3,Cash,2022,11
399.52,256.77,Debit Card,2022,2
195.12,405.5,Cash,2022,4
168.74,361.7,Bank Transfer,2023,12
279.72,268.38,Credit Card,2022,5
221.79,119.57,Debit Card,2023,8
435.68,263.77,Debit Card,2022,3
195.1,111.71,Bank Transfer,2021,12
300.96,480.9,Cash,2021,11
477.03,263.76,Credit Card,2022,7
353.6,331.7,Cash,2022,11
446.92,476.29,Credit Card,2023,6
476.08,330.41,Cash,2021,9
400.31,168.93,Credit Card,2022,7
379.83,480.65,Bank Transfer,2022,6
487.19,175.18,Cash,2022,2
497.76,151.26,Bank Transfer,2023,6
280.73,244.98,Debit Card,2021,1
128.35,273.94,Bank Transfer,2023,7
217.12,490.95,Cash,2021,12
160.94,321.62,Credit Card,2021,3
266.99,422.34,Bank Transfer,2021,2
152.52,407.59,Debit Card,2021,12
341.65,260.89,Credit Card,2023,6
253.12,129.86,Debit Card,2022,3
458.15,147.89,Bank Transfer,2021,7
487.12,497.09,Cash,2021,2
318.75,443.98,Credit Card,2023,10
209.93,238.29,Credit Card,2021,9
336.89,433.11,Debit Card,2023,11
458.7,459.95,Credit Card,2021,5
262.69,469.36,Bank Transfer,2022,8
320.83,450.08,Bank Transfer,2021,2
208.66,174.49,Credit Card,2022,7
282.18,417.39,Credit Card,2021,4
260.69,122.25,Cash,2023,11
199.37,422.61,Credit Card,2021,8
302.35,330.76,Credit Card,2022,9
224.15,393.97,Credit Card,2021,11
249.21,319.88,Bank Transfer,2023,5
309.99,339.01,Credit Card,2021,2
400.24,114.81,Credit Card,2022,1
233.4,112.58,Credit Card,2023,12
469.66,424.85,Credit Card,2021,10
444.93,216.42,Cash,2023,9
119.48,422.89,Credit Card,2023,7
201.46,381.4,Bank Transfer,2021,9
278.45,325.98,Debit Card,2023,8
141.85,141.98,Cash,2022,8
239.39,126.42,Credit Card,2022,6
396.04,253.59,Credit Card,2023,3
372.21,470.1,Debit Card,2021,9
348.95,190.51,Bank Transfer,2023,4
384.21,268.9,Cash,2023,9
181.97,356.68,Bank Transfer,2023,8
236.68,298.68,Bank Transfer,2022,8
370.5,110.04,Debit Card,2023,5
451.69,378.11,Cash,2022,9
317.47,467.36,Cash,2023,12
213.08,339.88,Debit Card,2023,12
112.09,332.17,Credit Card,2021,4
384.13,434.12,Bank Transfer,2023,8
103.15,433.14,Cash,2022,4
249.07,174.7,Debit Card,2023,12
312.21,268.92,Bank Transfer,2023,6
468.84,427.71,Cash,2022,9
135.8,393.93,Credit Card,2022,7
262.38,437.76,Cash,2023,6
109.73,151.78,Bank Transfer,2023,1
237.04,275.79,Bank Transfer,2023,1
348.89,383.58,Credit Card,2022,10
211.63,392.06,Debit Card,2021,3
183.9,128.72,Debit Card,2021,12
146.28,384.78,Bank Transfer,2023,10
330.86,350.49,Bank Transfer,2022,12
378.11,239.57,Bank Transfer,2021,4
368.78,221.64,Credit Card,2021,9
479.54,111.6,Bank Transfer,2023,5
101.08,256.8,Debit Card,2021,5
358.88,222.8,Cash,2021,1
340.16,272.6,Cash,2021,5
335.5,383.5,Bank Transfer,2021,12
485.11,158.19,Credit Card,2022,9
106.75,291.98,Credit Card,2021,1
378.59,417.14,Bank Transfer,2022,12
425.47,199.45,Debit Card,2023,11
303.92,445.47,Bank Transfer,2022,1
233.59,473.18,Bank Transfer,2023,4
416.34,145.14,Cash,2022,11
138.9,146.28,Debit Card,2021,4
276.81,358.08,Debit Card,2021,11
307.98,306.88,Credit Card,2022,6
377.58,461.43,Debit Card,2023,4
136.35,420.78,Bank Transfer,2023,7
191.1,300.76,Cash,2023,9
264.12,127.48,Credit Card,2022,4
349.32,139.55,Credit Card,2022,7
454.78,279.4,Bank Transfer,2021,5
347.53,221.83,Cash,2021,11
153.38,477.25,Cash,2021,8
492.23,366.34,Credit Card,2023,2
448.71,208.21,Credit Card,2022,11
301.09,242.78,Cash,2021,2
468.94,132.31,Debit Card,2021,10
316.55,199.88,Credit Card,2021,1
469.32,227.51,Debit Card,2023,3
431.96,356.78,Cash,2021,2
487.31,169.02,Credit Card,2022,10
467.91,370.87,Cash,2023,7
114.41,147.06,Bank Transfer,2023,8
169.91,457.65,Bank Transfer,2023,10
255.65,350.57,Cash,2021,2
480.86,330.99,Bank Transfer,2022,1
220.01,174.91,Debit Card,2021,12
164.19,396.35,Debit Card,2023,6
454.52,194.42,Cash,2022,10
278.56,419.22,Bank Transfer,2023,6
463.15,411.58,Debit Card,2021,3
164.09,475.76,Credit Card,2022,7
364.45,413.08,Debit Card,2023,7
276.11,245.98,Bank Transfer,2021,3
130.59,304.26,Debit Card,2023,12
378.59,350.75,Debit Card,2021,7
198.96,207.01,Cash,2021,7
115.85,420.02,Bank Transfer,2023,2
123.98,231.64,Cash,2023,8
124.43,152.05,Bank Transfer,2021,7
463.09,123.81,Bank Transfer,2023,2
395.95,364.0,Debit Card,2022,2
459.22,205.88,Cash,2023,7
369.03,440.63,Debit Card,2023,1
311.58,408.97,Bank Transfer,2023,11
221.78,146.08,Bank Transfer,2021,7
499.18,322.11,Debit Card,2023,5
244.88,486.95,Cash,2021,10
288.26,431.69,Cash,2022,8
251.3,448.9,Bank Transfer,2022,5
491.81,205.1,Cash,2022,10
169.86,390.19,Credit Card,2023,11
231.2,235.95,Bank Transfer,2023,12
372.14,431.23,Bank Transfer,2022,6
125.28,141.06,Bank Transfer,2023,11
342.9,374.05,Debit Card,2022,3
291.06,357.96,Cash,2021,10
213.6,204.53,Credit Card,2022,6
195.37,352.86,Credit Card,2022,12
305.81,464.35,Bank Transfer,2022,4
247.17,346.07,Cash,2021,5
282.61,173.62,Bank Transfer,2022,9
234.99,222.46,Debit Card,2022,4
488.2,240.62,Cash,2022,4
153.38,224.47,Credit Card,2021,8
138.72,373.76,Cash,2021,3
237.36,480.0,Credit Card,2022,6
336.41,301.56,Cash,2022,7
363.67,416.1,Debit Card,2022,6
258.9,477.75,Bank Transfer,2023,7
499.71,249.78,Credit Card,2021,4
240.76,118.51,Bank Transfer,2021,1
388.56,401.32,Credit Card,2023,9
355.03,394.0,Cash,2021,1
425.22,221.3,Bank Transfer,2021,1
490.49,207.65,Bank Transfer,2022,8
455.92,381.33,Debit Card,2022,6
405.82,162.56,Bank Transfer,2021,4
379.3,437.38,Cash,2023,8
234.2,444.25,Cash,2022,2
159.07,326.54,Credit Card,2023,11
125.05,187.52,Cash,2021,7
196.76,479.6,Cash,2021,1
272.91,194.11,Debit Card,2023,3
308.8,223.6,Credit Card,2023,10
409.23,276.73,Debit Card,2022,7
483.5,308.29,Cash,2021,6
146.93,282.21,Credit Card,2023,6
142.8,100.08,Debit Card,2023,10
335.88,444.88,Cash,2021,5
398.16,109.5,Bank Transfer,2023,3
439.26,452.62,Debit Card,2023,7
474.33,429.13,Bank Transfer,2023,9
493.37,474.68,Bank Transfer,2021,3
259.92,225.59,Bank Transfer,2023,7
252.13,171.88,Bank Transfer,2021,10
159.12,121.71,Credit Card,2021,2
373.97,375.1,Bank Transfer,2023,3
362.7,162.62,Cash,2023,7
444.83,167.13,Cash,2021,8
138.9,192.16,Debit Card,2022,12
299.11,211.45,Credit Card,2022,6
332.43,185.44,Cash,2022,4
196.62,342.97,Debit Card,2021,11
167.61,304.45,Debit Card,2022,8
443.83,360.27,Credit Card,2023,12
123.41,356.82,Debit Card,2023,1
288.25,442.06,Credit Card,2022,7
146.33,114.69,Bank Transfer,2023,1
282.82,323.08,Bank Transfer,2022,8
491.98,254.38,Credit Card,2022,10
269.48,415.71,Bank Transfer,2023,5
442.85,191.42,Credit Card,2022,5
146.93,343.58,Bank Transfer,2023,10
208.5,207.84,Credit Card,2023,2
261.52,193.87,Bank Transfer,2023,8
259.92,231.13,Debit Card,2023,12
368.55,125.43,Bank Transfer,2023,3
237.89,398.55,Cash,2021,7
385.51,452.52,Credit Card,2023,9
355.67,106.79,Bank Transfer,2021,11
259.66,360.98,Cash,2023,1
272.7,325.16,Bank Transfer,2023,7
345.81,462.16,Debit Card,2022,12
128.02,374.14,Credit Card,2022,9
428.96,267.43,Cash,2021,3
361.37,331.28,Debit Card,2022,1
390.54,150.89,Bank Transfer,2023,1
314.77,164.86,Debit Card,2021,1
144.19,189.53,Credit Card,2022,11
262.01,293.24,Debit Card,2022,6
262.15,206.73,Debit Card,2023,10
228.42,140.22,Bank Transfer,2023,5
111.98,307.4,Debit Card,2021,11
394.9,379.13,Bank Transfer,2022,5
143.91,138.58,Bank Transfer,2021,1
342.52,391.58,Debit Card,2022,2
381.29,109.47,Credit Card,2023,9
353.91,379.58,Bank Transfer,2023,12
483.66,481.23,Debit Card,2021,4
141.32,282.71,Credit Card,2023,6
446.87,126.36,Cash,2021,11
111.68,213.07,Debit Card,2023,3
313.97,159.01,Debit Card,2022,4
261.7,300.37,Credit Card,2021,5
309.67,172.32,Bank Transfer,2021,3
246.04,498.55,Credit Card,2021,11
176.23,267.83,Bank Transfer,2022,12
107.65,254.94,Bank Transfer,2023,3
307.26,125.67,Credit Card,2021,3
437.11,339.44,Credit Card,2023,2
249.29,149.72,Bank Transfer,2022,7
189.15,204.7,Bank Transfer,2021,8
132.21,219.66,Debit Card,2021,12
134.12,139.25,Debit Card,2022,9
188.56,432.01,Debit Card,2023,3
140.01,144.21,Bank Transfer,2022,12
206.02,293.2,Debit Card,2021,12
126.46,215.63,Cash,2023,5
126.24,194.62,Credit Card,2023,12
442.51,189.32,Debit Card,2023,1
164.85,367.95,Credit Card,2023,5
323.87,417.52,Credit Card,2022,2
409.38,263.57,Bank Transfer,2022,4
282.56,227.41,Bank Transfer,2023,10
161.35,392.41,Credit Card,2022,12
179.84,207.67,Credit Card,2021,10
273.19,448.18,Cash,2022,1
311.29,217.55,Credit Card,2022,8
239.78,120.5,Credit Card,2021,10
412.59,288.14,Bank Transfer,2023,11
400.41,219.96,Cash,2022,10
470.88,286.38,Debit Card,2023,8
111.58,216.81,Credit Card,2022,6
458.28,494.81,Credit Card,2022,9
257.03,489.81,Cash,2023,3
451.35,347.01,Cash,2023,1
376.31,462.62,Cash,2021,6
494.94,225.17,Bank Transfer,2023,9
403.71,415.16,Cash,2021,10
245.82,406.02,Bank Transfer,2023,10
300.43,242.13,Debit Card,2022,12
